TR2|c0_g1_i1	scaffold2881	90.67	150	12	1	210	359	25046	25193	8e-52	  205
TR3|c0_g1_i1	scaffold198092	99.61	255	1	0	1	255	11935	12189	2e-127	  455
TR4|c0_g1_i1	scaffold107738	91.73	254	20	1	77	330	6217	5965	2e-98	  360
TR9|c0_g1_i1	scaffold37399	96.09	128	3	2	98	224	5147	5021	7e-51	  201
TR16|c0_g1_i1	scaffold31393	79.59	245	39	2	18	254	1823	1582	9e-56	  217
TR20|c0_g1_i1	scaffold18797	100.00	342	0	0	1	342	17162	16821	4e-176	  618
TR20|c0_g2_i1	scaffold18797	99.52	208	1	0	1	208	17028	16821	7e-102	  370
TR27|c0_g1_i1	scaffold28413	97.40	154	4	0	1	154	3449	3602	2e-68	  260
TR27|c0_g1_i1	scaffold28413	97.73	132	3	0	320	451	4520	4651	1e-57	  224
TR27|c0_g1_i1	scaffold28413	97.46	118	3	0	203	320	4077	4194	5e-50	  199
TR27|c0_g1_i1	scaffold28413	98.18	110	2	0	446	555	4984	5093	3e-47	  190
TR27|c0_g2_i1	scaffold28413	97.40	154	4	0	1	154	3449	3602	1e-68	  260
TR27|c0_g2_i1	scaffold28413	97.08	137	4	0	203	339	4077	4213	2e-59	  230
TR39|c0_g1_i1	scaffold118143	99.63	545	2	0	47	591	17029	16485	0.0	  975
TR39|c0_g2_i1	scaffold118143	99.37	474	3	0	1	474	16958	16485	0.0	  841
TR43|c0_g1_i1	scaffold76821	82.08	240	29	3	3	228	9958	9719	4e-62	  239
TR45|c1_g1_i1	scaffold53953	91.32	438	18	3	1	425	2620	2190	1e-177	  623
TR50|c0_g1_i1	scaffold79860	78.10	274	48	2	1	274	6219	6480	2e-58	  226
TR51|c0_g1_i1	scaffold44580	97.45	863	8	2	486	1336	822	1682	0.0	 1462
TR51|c0_g1_i1	scaffold44580	100.00	107	0	0	204	310	174	280	6e-48	  194
TR51|c0_g1_i1	scaffold44580	100.00	100	0	0	390	489	567	666	4e-44	  181
TR52|c0_g1_i1	scaffold10977	100.00	841	0	0	361	1201	13036	13876	0.0	 1517
TR52|c0_g1_i1	scaffold10977	100.00	217	0	0	24	240	12479	12695	1e-107	  392
TR52|c0_g1_i1	scaffold10977	99.19	124	1	0	241	364	12802	12925	1e-55	  219
TR52|c0_g2_i1	scaffold10977	100.00	841	0	0	362	1202	13036	13876	0.0	 1517
TR52|c0_g2_i1	scaffold10977	100.00	217	0	0	25	241	12479	12695	1e-107	  392
TR52|c0_g2_i1	scaffold10977	99.19	124	1	0	242	365	12802	12925	1e-55	  219
TR54|c0_g1_i1	scaffold46200	76.01	617	139	3	2	609	1211	1827	1e-122	  441
TR54|c0_g2_i1	scaffold20687	75.37	540	125	3	1	533	18908	18370	5e-101	  369
TR54|c0_g2_i1	scaffold20687	72.22	540	142	3	1	533	1223	685	1e-77	  291
TR55|c0_g1_i1	scaffold60519	100.00	365	0	0	1	365	8406	8770	0.0	  659
TR55|c0_g1_i1	scaffold60519	98.86	175	1	1	595	769	10494	10667	3e-81	  304
TR55|c0_g1_i1	scaffold60519	100.00	163	0	0	878	1040	11796	11958	2e-78	  295
TR55|c0_g1_i1	scaffold60519	99.20	125	1	0	754	878	10920	11044	3e-56	  221
TR55|c0_g1_i1	scaffold60519	99.15	117	1	0	481	597	10265	10381	7e-52	  206
TR58|c0_g1_i1	scaffold16316	80.69	233	31	4	1	224	8078	7851	3e-54	  212
TR66|c0_g1_i1	scaffold29509	87.35	245	28	2	5	246	1723	1479	1e-79	  297
TR66|c0_g2_i1	scaffold29509	88.57	280	29	2	3	279	1758	1479	5e-97	  354
TR67|c0_g1_i1	scaffold42841	76.37	292	48	6	4	293	5407	5679	5e-53	  208
TR67|c0_g2_i1	scaffold42841	76.37	292	48	6	4	293	5407	5679	5e-53	  208
TR69|c0_g1_i1	scaffold76780	93.65	252	13	2	1	249	6183	6434	3e-103	  376
TR69|c0_g2_i1	scaffold76780	93.65	252	13	2	1	249	6183	6434	3e-103	  376
TR72|c0_g1_i1	scaffold133022	99.67	612	2	0	3	614	4322	4933	0.0	 1095
TR74|c0_g1_i1	scaffold71954	99.56	456	2	0	1	456	11541	11996	0.0	  814
TR74|c0_g2_i1	scaffold71954	98.69	459	3	1	1	459	11541	11996	0.0	  800
TR75|c0_g1_i1	scaffold7231	99.34	302	2	0	1	302	8636	8335	9e-152	  536
TR75|c0_g2_i1	scaffold7231	99.70	335	1	0	1	335	8669	8335	1e-170	  600
TR84|c0_g1_i1	scaffold27592	97.96	491	8	1	1	489	13327	12837	0.0	  838
TR91|c0_g1_i1	scaffold11951	98.72	390	5	0	1	390	2658	3047	0.0	  681
TR91|c0_g1_i1	scaffold11951	99.51	204	1	0	705	908	5347	5550	4e-99	  363
